Umbral,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.39499999999999996,0.26471725698213616,0.7002153587720172,0.3246852670976523,0.19957126424762103,0.8702690378476973,0.6269906151102097,0.21807197426468858,28595,45927,1707,11451
0.3999999999999999,0.26471725698213616,0.7002153587720172,0.3261574672062918,0.20104387827317763,0.8635810913512691,0.628812901490025,0.21807197426468858,29365,45157,1795,11363
0.4049999999999999,0.26471725698213616,0.7002153587720172,0.32793463406123696,0.20275420681720122,0.8571211430308557,0.6310242735094699,0.21807197426468858,30176,44346,1880,11278
0.4099999999999999,0.26471725698213616,0.7002153587720172,0.3296317597958973,0.20449763041847357,0.8493692050463596,0.6329922163821744,0.21807197426468858,31047,43475,1982,11176
0.4149999999999999,0.26471725698213616,0.7002153587720172,0.3309530923214819,0.20596110222751107,0.8418452652378781,0.634396506105963,0.21807197426468858,31817,42705,2081,11077
0.41999999999999993,0.26471725698213616,0.7002153587720172,0.3329443678300271,0.20793503568115998,0.8348533211734306,0.6366773516578084,0.21807197426468858,32678,41844,2173,10985
0.42499999999999993,0.26471725698213616,0.7002153587720172,0.3339481693258323,0.20930635838150288,0.8255813953488372,0.6374558972128099,0.21807197426468858,33485,41037,2295,10863
0.42999999999999994,0.26471725698213616,0.7002153587720172,0.33504833177424387,0.21076066062531873,0.8166134670922632,0.6383394755552028,0.21807197426468858,34285,40237,2413,10745
0.43499999999999994,0.26471725698213616,0.7002153587720172,0.3365979463000174,0.21254870616445198,0.8084055327557379,0.639797624272182,0.21807197426468858,35114,39408,2521,10637
0.43999999999999995,0.26471725698213616,0.7002153587720172,0.338215455771825,0.21441661576053758,0.8002735978112175,0.6412870632570755,0.21807197426468858,35942,38580,2628,10530
0.44499999999999995,0.26471725698213616,0.7002153587720172,0.33959372656428316,0.21616853466168534,0.7915336677306581,0.6423852821088007,0.21807197426468858,36757,37765,2743,10415
0.4499999999999999,0.26471725698213616,0.7002153587720172,0.34126221633261555,0.21818605439295094,0.7828697370421036,0.6437831683519741,0.21807197426468858,37611,36911,2857,10301
0.4549999999999999,0.26471725698213616,0.7002153587720172,0.34283982625677634,0.22019896193771626,0.7738258093935249,0.6449843466870472,0.21807197426468858,38464,36058,2976,10182
