Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.24,0.28112631703818736,0.6915895017167712,0.2565553953059525,0.16380751297615906,0.9905760753913969,0.10717640428329889,0.5488762398373479,0.22694498129081228,7987,66535,124,13034
0.245,0.28154857118153126,0.6915895017167712,0.2565553953059525,0.16411309628808307,0.9898920808633531,0.10977966238157859,0.5498358716224658,0.22694498129081228,8181,66341,133,13025
0.24999999999999994,0.2821082281566546,0.6915895017167712,0.2565553953059525,0.1645040241575802,0.9895120839033288,0.11265129760339229,0.5510816907533606,0.22694498129081228,8395,66127,138,13020
0.25499999999999995,0.28235600560023444,0.6915895017167712,0.2565553953059525,0.16469783872070498,0.9886000911992704,0.11471780145460402,0.5516589463269372,0.22694498129081228,8549,65973,150,13008
0.25999999999999995,0.28273492377617815,0.6915895017167712,0.2565553953059525,0.1649705613643285,0.9880680954552363,0.11694533157993613,0.5525067135175862,0.22694498129081228,8715,65807,157,13001
0.26499999999999996,0.2831148737728674,0.6915895017167712,0.2565553953059525,0.16524847051042343,0.9873841009271925,0.11933388797938864,0.5533589944532906,0.22694498129081228,8893,65629,166,12992
0.26999999999999996,0.28338719538824353,0.6915895017167712,0.2565553953059525,0.16546395695744193,0.9863201094391245,0.12165535009795765,0.553987729768541,0.22694498129081228,9066,65456,180,12978
0.27499999999999997,0.284052446518353,0.6915895017167712,0.2565553953059525,0.16594355922441928,0.9854081167350661,0.1255065618206704,0.5554573392778682,0.22694498129081228,9353,65169,192,12966
0.27999999999999997,0.2844964902066329,0.6915895017167712,0.2565553953059525,0.16628356426489282,0.9841161270709834,0.12879418158396178,0.5564551543274726,0.22694498129081228,9598,64924,209,12949
0.285,0.2851220991125076,0.6915895017167712,0.2565553953059525,0.1667504868015526,0.9827481380148959,0.13292718928638522,0.5578376636506406,0.22694498129081228,9906,64616,227,12931
