Fecha_Acc,Anio,Mes,Dia_Num,Dia_Semana,Es_Festivo,Nombre_Festivo,Siniestros
2018-07-29,2018,7,6,Domingo,False,,32
2018-07-30,2018,7,0,Lunes,False,,38
2018-07-31,2018,7,1,Martes,False,,41
2018-08-01,2018,8,2,Miércoles,False,,33
2018-08-02,2018,8,3,Jueves,False,,37
2018-08-03,2018,8,4,Viernes,False,,36
2018-08-04,2018,8,5,Sábado,False,,44
2018-08-05,2018,8,6,Domingo,False,,36
2018-08-06,2018,8,0,Lunes,False,,51
2018-08-07,2018,8,1,Martes,True,Batalla de Boyacá,23
2018-08-08,2018,8,2,Miércoles,False,,31
2018-08-09,2018,8,3,Jueves,False,,38
2018-08-10,2018,8,4,Viernes,False,,42
2018-08-11,2018,8,5,Sábado,False,,50
2018-08-12,2018,8,6,Domingo,False,,24
2018-08-13,2018,8,0,Lunes,False,,50
2018-08-14,2018,8,1,Martes,False,,38
2018-08-15,2018,8,2,Miércoles,False,,38
2018-08-16,2018,8,3,Jueves,False,,43
2018-08-17,2018,8,4,Viernes,False,,38
2018-08-18,2018,8,5,Sábado,False,,27
2018-08-19,2018,8,6,Domingo,False,,25
2018-08-20,2018,8,0,Lunes,True,La Asunción (observado),31
2018-08-21,2018,8,1,Martes,False,,41
2018-08-22,2018,8,2,Miércoles,False,,32
2018-08-23,2018,8,3,Jueves,False,,47
2018-08-24,2018,8,4,Viernes,False,,38
2018-08-25,2018,8,5,Sábado,False,,37
2018-08-26,2018,8,6,Domingo,False,,26
2018-08-27,2018,8,0,Lunes,False,,38
2018-08-28,2018,8,1,Martes,False,,46
2018-08-29,2018,8,2,Miércoles,False,,45
2018-08-30,2018,8,3,Jueves,False,,42
2018-08-31,2018,8,4,Viernes,False,,35
2018-09-01,2018,9,5,Sábado,False,,37
2018-09-02,2018,9,6,Domingo,False,,30
2018-09-03,2018,9,0,Lunes,False,,33
2018-09-04,2018,9,1,Martes,False,,39
2018-09-05,2018,9,2,Miércoles,False,,35
2018-09-06,2018,9,3,Jueves,False,,44
2018-09-07,2018,9,4,Viernes,False,,37
2018-09-08,2018,9,5,Sábado,False,,33
2018-09-09,2018,9,6,Domingo,False,,20
2018-09-10,2018,9,0,Lunes,False,,38
2018-09-11,2018,9,1,Martes,False,,47
2018-09-12,2018,9,2,Miércoles,False,,35
2018-09-13,2018,9,3,Jueves,False,,30
2018-09-14,2018,9,4,Viernes,False,,44
2018-09-15,2018,9,5,Sábado,False,,42
2018-09-16,2018,9,6,Domingo,False,,25
2018-09-17,2018,9,0,Lunes,False,,38
2018-09-18,2018,9,1,Martes,False,,45
2018-09-19,2018,9,2,Miércoles,False,,41
2018-09-20,2018,9,3,Jueves,False,,38
2018-09-21,2018,9,4,Viernes,False,,53
2018-09-22,2018,9,5,Sábado,False,,35
2018-09-23,2018,9,6,Domingo,False,,28
2018-09-24,2018,9,0,Lunes,False,,34
