Repeticion,Average_Precision,AUC_ROC,Brier
36,0.0024340296941688377,0.000403713531727079,0.07788049662623761
37,0.001364614183969548,0.001537690338884623,0.07713955743654669
38,-0.0012065363386351002,-0.0009854260805379766,0.07780718022627636
39,0.003724264380953468,-0.0008148298272513399,0.07918379066735784
40,-4.524924763416038e-05,0.00030022233432702716,0.07878942191596372
41,0.0010461676175644308,0.0005442207300506707,0.07620370246806177
42,-0.0017571406704187664,-0.0009412057762916426,0.08043920352108291
43,0.001701297219396658,-0.0015840058269757096,0.07912727722921267
44,0.0017145929225828027,0.00022815928665986807,0.08004691577133913
45,0.0030873785075514193,0.0012789257623723183,0.07688103175271033
46,0.0011442803135888746,0.0007537276525412251,0.07811641561509788
47,-0.00046037282945432523,-0.0014221458465997205,0.0784818309718672
48,-0.0016961458002694996,-0.00027391755943673157,0.07689427399341703
49,0.0015458700070850595,1.736322373979693e-05,0.07865502338232053
50,0.0033293509724994785,0.0025953489248905504,0.07943368975866172
51,0.00430342893659752,0.002574859971279042,0.0789366016592761
52,0.0029879467361491607,-0.0010816377285487455,0.07824065317386475
53,0.0006724252046963475,-0.0001638862431738719,0.07873892272898617
54,0.0005306017355635739,0.0002609901159046357,0.07659785297485869
55,0.0024561620700586095,0.0014526312250511264,0.07908434518663726
56,0.0018544960077211958,0.0025850631205357466,0.07983752591429022
57,-0.00033344865694096004,0.00044565586978551064,0.07973723049864176
58,0.0008552694017532891,0.002823734619986751,0.07779724929337206
59,-8.430869324016488e-05,-0.0003060376444191659,0.07727683408676553
60,0.0038952471774387765,0.0008088127629960473,0.07924664733607104
61,0.0014880005491463844,0.0004803390240950556,0.07908242016965866
62,4.705478104449767e-05,-0.00032123323618760136,0.07763143350612806
63,0.0035560176729326765,-0.0002422744566401569,0.07677287230475194
64,-0.002740465613142229,0.00016678757942500955,0.07667711281487746
65,0.00106278713721214,-0.00012144617628140342,0.07806023640584647
66,0.0017082056952745228,0.0020249048285163607,0.0790072661112862
67,0.0006751834157809333,-0.0003553462905689919,0.07848512527374618
68,-0.0012764030418687122,-0.0010733997566838571,0.08130706149318606
69,0.0015496998323215605,0.0010858289748818528,0.07843716683903454
70,0.0019381566369385261,-9.725607254218449e-05,0.07884400050848928
71,0.0006215696022363049,-0.00024171719920529355,0.08024460911431425
72,0.002556622840373113,0.000521960990142678,0.07711958313368159
73,0.0015442893523470724,-0.0006320960003054488,0.07669906389567516
74,-0.0033926672288370208,-0.0007764127678621113,0.07895946883926422
75,0.0007684374243337455,0.00048822828462280476,0.07792061291613425
76,0.0005425868041665227,0.0006486587092296991,0.07804428516065026
77,0.0021815236320925635,0.0012928605490093448,0.07845197208088872
78,0.0019666119721929998,0.0006660021024125218,0.07813786166258713
79,0.001758024427579885,0.0005606732935629077,0.08122482377729437
80,0.003935650588032857,0.0022670336301062743,0.07591650137627284
81,0.0013839186625824729,0.0007228542977910646,0.07858119649183076
82,0.0027468975983066524,0.004702612024314101,0.0775006794277748
83,0.0007576548280814333,0.00012169491343072547,0.07894635429217106
84,-0.0005025951631791314,-0.0017672217375166444,0.07799915163827079
85,0.002241258987079553,0.0014623330374913257,0.07938517770736667
86,0.002533101015183059,0.0003235056681241133,0.07936657852476414
87,0.00013065687712016105,0.0004572936326916466,0.07772400688786216
88,-0.0025042636347957226,-0.0010566737894328604,0.07774551870639534
