Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
CHAPINERO,Noche,Monday,0.2222222222222222,261
CHAPINERO,Noche,Saturday,0.20689655172413793,261
CHAPINERO,Noche,Sunday,0.13846153846153847,260
CHAPINERO,Noche,Thursday,0.29118773946360155,261
CHAPINERO,Noche,Tuesday,0.28735632183908044,261
CHAPINERO,Noche,Wednesday,0.21455938697318008,261
CHAPINERO,Tarde,Friday,0.2950191570881226,261
CHAPINERO,Tarde,Monday,0.3103448275862069,261
CHAPINERO,Tarde,Saturday,0.30268199233716475,261
CHAPINERO,Tarde,Sunday,0.19615384615384615,260
CHAPINERO,Tarde,Thursday,0.3524904214559387,261
CHAPINERO,Tarde,Tuesday,0.367816091954023,261
CHAPINERO,Tarde,Wednesday,0.34099616858237547,261
CIUDAD BOLÍVAR,Madrugada,Friday,0.1417624521072797,261
CIUDAD BOLÍVAR,Madrugada,Monday,0.17624521072796934,261
CIUDAD BOLÍVAR,Madrugada,Saturday,0.20689655172413793,261
CIUDAD BOLÍVAR,Madrugada,Sunday,0.29615384615384616,260
CIUDAD BOLÍVAR,Madrugada,Thursday,0.1532567049808429,261
CIUDAD BOLÍVAR,Madrugada,Tuesday,0.21839080459770116,261
CIUDAD BOLÍVAR,Madrugada,Wednesday,0.16091954022988506,261
CIUDAD BOLÍVAR,Mañana,Friday,0.09578544061302682,261
CIUDAD BOLÍVAR,Mañana,Monday,0.09961685823754789,261
CIUDAD BOLÍVAR,Mañana,Saturday,0.12260536398467432,261
CIUDAD BOLÍVAR,Mañana,Sunday,0.05,260
CIUDAD BOLÍVAR,Mañana,Thursday,0.06513409961685823,261
CIUDAD BOLÍVAR,Mañana,Tuesday,0.07279693486590039,261
CIUDAD BOLÍVAR,Mañana,Wednesday,0.11877394636015326,261
CIUDAD BOLÍVAR,Noche,Friday,0.13026819923371646,261
CIUDAD BOLÍVAR,Noche,Monday,0.05363984674329502,261
CIUDAD BOLÍVAR,Noche,Saturday,0.12643678160919541,261
CIUDAD BOLÍVAR,Noche,Sunday,0.08461538461538462,260
CIUDAD BOLÍVAR,Noche,Thursday,0.08045977011494253,261
CIUDAD BOLÍVAR,Noche,Tuesday,0.06513409961685823,261
CIUDAD BOLÍVAR,Noche,Wednesday,0.06130268199233716,261
CIUDAD BOLÍVAR,Tarde,Friday,0.1111111111111111,261
CIUDAD BOLÍVAR,Tarde,Monday,0.13409961685823754,261
CIUDAD BOLÍVAR,Tarde,Saturday,0.16475095785440613,261
CIUDAD BOLÍVAR,Tarde,Sunday,0.11153846153846154,260
CIUDAD BOLÍVAR,Tarde,Thursday,0.07279693486590039,261
CIUDAD BOLÍVAR,Tarde,Tuesday,0.09578544061302682,261
CIUDAD BOLÍVAR,Tarde,Wednesday,0.1111111111111111,261
ENGATIVÁ,Madrugada,Friday,0.2413793103448276,261
ENGATIVÁ,Madrugada,Monday,0.19157088122605365,261
ENGATIVÁ,Madrugada,Saturday,0.39846743295019155,261
ENGATIVÁ,Madrugada,Sunday,0.3576923076923077,260
ENGATIVÁ,Madrugada,Thursday,0.32567049808429116,261
ENGATIVÁ,Madrugada,Tuesday,0.12260536398467432,261
ENGATIVÁ,Madrugada,Wednesday,0.1839080459770115,261
ENGATIVÁ,Mañana,Friday,0.3448275862068966,261
ENGATIVÁ,Mañana,Monday,0.29118773946360155,261
